video_title,webVideoUrl,Account,date_published,likeCount,shareCount,playCount,commentCount,videoMeta.duration,hashtags,time_period
"Two teenagers are facing charges in connection to the shooting death of a 17-year-old in Jackson County.
 
Sheriff John Ledbetter says deputies found the teenage victim's body lying on the ground on Wildwood Road off Highway 63 in the Escatawpa area on Monday.
 
An investigation led to the recovery of the weapon, search warrants, and the arrests of a 17 and 18-year-old.
 
A motive is unknown.
 
More details on WLOX.com 
#crime #truecrime #shooting #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7468034992497626410,wloxtv,2/5/2025,77,8,2101,4,27,"['crime','truecrime','shooting','fyp','news','wloxnews']",19:12:18
"Savvy Sliders restaurant held a grand opening for its Gulfport location on Wednesday and people lined up around the building on Highway 49 thirty minutes before it opened.
 
Savvy Sliders has several options, including burgers, hand-breaded chicken fingers, and custom milkshakes.
 
The Gulfport restaurant is the chain's first location in Mississippi.
 
Savvy Sliders plans to expand to Biloxi, Ocean Springs, and possibly Bay St. Louis.
 
More on WLOX.com
#foodie #foodtiktok #savvysliders #newrestaurant #gulfport #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7468368740795714862,wloxtv,2/6/2025,52,21,2521,3,25,"['foodie','foodtiktok','savvysliders','newrestaurant','gulfport','fyp','news','wloxnews']",14:41:30
"On Thursday, 28-year-old Erick Hunt of Jackson and 32-year-old Richard Norman III of Gulfport were sentenced for the murder of Anthony Oatis and the armed robbery of Garrett White.
 
A Harrison County jury convicted Hunt and Norman of first-degree murder and armed robbery two weeks ago. Norman was also found guilty of possession of a firearm by a felon.
 
Both were sentenced to life in prison in the custody of MDOC.
 
Their co-defendant, Eric Chopin previously plead guilty to manslaughter and armed robbery. His sentencing is set at a later date.
 
More details on the case at WLOX.com
#crime #truecrime #sentencing #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7468713383731285290,wloxtv,2/7/2025,84,5,1188,3,192,"['crime','truecrime','sentencing','fyp','news','wloxnews']",19:35:19
"Joe Horn tells @Aaron S. Lee that he would be interested in joining the New Orleans Saints staff if the team hires a Super Bowl-winning head coach.  
#Saints #NFL #nflcoach #SuperBowl #fyp #wloxnews",https://www.tiktok.com/@wloxtv/video/7468777975882747178,wloxtv,2/7/2025,151,2,3955,7,74,"['Saints','NFL','nflcoach','SuperBowl','fyp','wloxnews']",18:36:05
"Lawrence Taylor and Rickey Jackson weigh in on the great debate with @Aaron S. Lee the Big Blue Wrecking Crew or the Dome Patrol?
#NFL #Saints #Giants #DomeParrol #BigBlueWreckingCrew #wloxnews",https://www.tiktok.com/@wloxtv/video/7468781724743257390,wloxtv,2/7/2025,108,4,2825,10,93,"['nfl','saints','giants','domeparrol','bigbluewreckingcrew','wloxnews']",19:31:13
"Many returned to line Highway 90 in Biloxi on Saturday to protest the recent immigration enforcement in the U.S.

This was the second protest demonstration since Monday that drew at least a hundred people. 

The protest on Saturday looked a little different as barricades were set up and Biloxi Police officers were in designated areas.

Details at WLOX.com
#immigration #biloxi #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7469900007320177966,wloxtv,2/10/2025,180,17,3286,40,72,"['immigration','biloxi','fyp','news','wloxnews']",12:16:01
"The skeleton of the new Popp's Ferry Road extension in Biloxi has been imprinted. 

Work on the extended section of the road is happening as the Mississippi Coast Coliseum received approval to buy more land for its parking lot expansion on Monday.

More details on the project at WLOX.com
#Biloxi #coastcoliseum #poppsferry #roadwork #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7470241739912088878,wloxtv,2/11/2025,15,5,895,0,173,"['biloxi','coastcoliseum','poppsferry','roadwork','fyp','news','wloxnews']",20:02:06
"President Donald Trump has asked the Treasury to stop minting new pennies, citing the rising cost of producing the one-cent coin.
 
WLOX News asked South Mississippi business owners if they could make sense of a penny-less world. 

More details on WLOX.con 
#Penny #pennies #trump #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7470258803615780138,wloxtv,2/11/2025,32,1,1340,0,92,"['penny','pennies','trump','fyp','news','wloxnews']",13:51:16
"Police in Daphne, Alabama arrested 40-year-old Katie Diana Brewer, of Pass Christian, after she allegedly stole multiple vehicles.
 
According to authorities, Brewer drove to Daphne in a Jeep Wrangler that was stolen out of Mississippi.
 
Officials say Brewer parked the jeep and stole two unlocked cars at two different locations and broke into another unlocked car.
 
Brewer was booked at the Daphne City Jail, where officials said she attacked and injured two female Correction Officers.
 
More details on the case at WLOX.com
#crime #truecrime #crimespree #joyride fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7470634722562034986,wloxtv,2/12/2025,109,11,73000,15,109,"['crime','truecrime','crimespree','joyride','news','wloxnews']",17:41:00
"The Mayor of Columbia said a tornado swept through the city Wednesday afternoon, damaging about 20 homes and a half dozen businesses.

Several of the businesses were along U.S. 98, near the National Guard Armory.

Several roads were closed for a while, and many were left without power.

There are no reports of injuries.

More at WLOX.com 
#tornado #mississippitornado #storm #weathertok #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7470903956458392878,wloxtv,2/13/2025,86,19,4050,4,42,"['tornado','mississippitornado','storm','weathertok','fyp','news','wloxnews']",17:56:01
"Tryouts are underway for the inaugural season of girls high school flag football in Mississippi.

For young female athletes, the chance to take the field is also an opportunity to redefine what it means to ""play like a girl."" 

@Aaron S. Lee spoke with athles and coaches who will be a part of the new 12-team league.
#flagfootball #girlsflagfootball #la28 #sports #highschoolsports #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7471012274510122286,wloxtv,2/13/2025,51,3,1002,3,141,"['flagfootball','girlsflagfootball','la28','sports','highschoolsports','fyp','news','wloxnews']",19:33:53
"Happy Valentine's Day! ?
#valentinesday #valentines #love #fishbonealley #gulfport #wloxnews",https://www.tiktok.com/@wloxtv/video/7471313513533984046,wloxtv,2/14/2025,7,0,430,0,24,"['valentinesday','valentines','love','fishbonealley','gulfport','wloxnews']",21:46:51
"@Seattle Seahawks star Derick Hall was given less than 1% chance to live after birth.
 
On Friday, he returned to the place where he defied those odds to give back to the families and babies in the NICU at Memorial Hospital in Gulfport.
 
Details on WLOX.COM
#NICU #seattleseahawks #NFL #nflplayer #gulfport #fyp #news #wlox",https://www.tiktok.com/@wloxtv/video/7472459923687951662,wloxtv,2/17/2025,102,12,1535,1,204,"['nicu','seattleseahawks','nfl','nflplayer','gulfport','fyp','news','wlox']",19:15:09
"The voices of Hancock County democrats echoed through the city of Waveland on Presidents Day.

Protestors gathered in front of City Hall to protest against the Trump administration.

More on the story at WLOX.com
#protest #presidentsday #whitehouse #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7472836245350075691,wloxtv,2/18/2025,189,14,7892,66,121,"['protest','presidentsday','whitehouse','fyp','news','wloxnews']",13:20:59
"The Institute for Marine Mammal Studies (IMMS) released three rehabbed Kemp's ridley sea turtles back into the Mississippi Sound on Monday.
 
The turtles were rescued in South Mississippi after they got caught on fishing hooks, and treated at IMMS until they were ready to be released back into the wild.
 
Two of the turtles were equipped with satellite trackers. IMMS Founder and President Moby Solangi said the trackers will help better understand the environment turtles travel to when released.
 
More details on WLOX.com
#seaturtle #turtlerelease #biloxibeach #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7472862996470058286,wloxtv,2/18/2025,36,1,824,1,51,"['seaturtle','turtlerelease','biloxibeach','fyp','news','wloxnews']",18:01:03
"The first Buc-ee’s in Mississippi is getting closer to opening as signs with the yellow and red Beaver logos are now up on the 74,000-square-foot building on Menge Avenue in Harrison County.

On Wednesday, construction workers moved a giant ‘Mississippi’ sign off a truck. The state sign will sit under a giant round Beaver logo on a pole along I-10.

More on when the store will open at WLOX.com
#bucees #buceesgasstation #buceeseverything #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7473194813857221931,wloxtv,2/19/2025,178,63,14100,6,21,"['bucees','buceesgasstation','buceeseverything','fyp','news','wloxnews']",18:40:29
"Bricen Rivers pleaded not guilty to three charges related to the murder of his 22-year-old ex-girlfriend Lauren Johansen.
 
A Forrest County grand jury indicted Rivers on three counts: capital murder, taking possession of a motor vehicle and tampering with evidence.
 
The capital murder charge makes this case eligible for the death penalty.
 
A trial date has been set for June 25, 2025.
 
More on WLOX.com

#laurenjohansen #laurenjohansencase #bricenrivers #bricenriversarrest #bricenriverscase #crime #truecrime #crimestory #crimestories #domesticviolenceawareness #wloxnews",https://www.tiktok.com/@wloxtv/video/7473938979209891114,wloxtv,2/21/2025,216,6,5951,7,200,"['laurenjohansen','laurenjohansencase','bricenrivers','bricenriversarrest','bricenriverscase','crime','truecrime','crimestory','crimestories','domesticviolenceawareness','wloxnews']",18:48:28
"According to authorities, Hinds County Deputy Martin Shields Jr. was shot and killed Sunday after responding to a domestic incident.
 
""Deputy Shields died a hero, embodying the courage and commitment we all share in serving and protecting our community,"" said Sheriff Tyree Jones.
 
Shields had been with the department for nine months but was a law enforcement veteran.
 
Shields leaves behind a wife and 12-year-old daughter.
 
More at WLOX.com
#HindsCounty #HindsCountySheriff #domesticincident #domesticabuseawareness #truecrime #crime #mississippicrime #wloxnews",https://www.tiktok.com/@wloxtv/video/7475080077336841518,wloxtv,2/24/2025,173,25,5432,16,78,"['hindscounty','hindscountysheriff','domesticincident','domesticabuseawareness','truecrime','crime','mississippicrime','wloxnews']",19:24:05
"With both the House and Senate now having passed tax reform plans, conversations now turn to where the two chambers are willing to compromise.
 
While the question of how much to cut the income tax may be the biggest sticking point, there is an agreement that more money should go to infrastructure.
 
No matter which version of tax reform wins out at the Capitol this session, both currently have you paying more at the pump.
 
More details at  WLOX.com.
#incometax #gastax #mississippi #taxreform #mississippilegislativesession #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7475438005197540654,wloxtv,2/25/2025,89,22,4933,45,147,"['incometax','gastax','mississippi','taxreform','mississippilegislativesession','news','wloxnews','fyp']",01:08:26
"There's an all-new restaurant serving up Italian cuisine in downtown Ocean Springs.
 
After a soft launch over the weekend, Field's Italian officially opened its doors to the public at 1106 Government Street on Tuesday.
 
Details on WLOX.com
@Aaron S. Lee",https://www.tiktok.com/@wloxtv/video/7475833168671591726,wloxtv,2/26/2025,55,24,1755,0,87,[''],12:49:33
"The U.S. Immigration and Customs Enforcement announced the arrest of 16 immigrants at a worksite in Pass Christian.
 
The arrests took place on Monday after ICE Gulfport served Gulf Coast Prestress Partners, Ltd., a concrete contractor based in Pass Christian, with a notice of inspection and immigration subpoena.
 
While serving paperwork and interviewing employees, agents saw a large group of people running from the back of the business property.
 
An immigration inspection of the group found 18 citizens of Mexico, Guatemala, and Honduras. Two of them had immigration court dates and work authorization, so they were released.

More details at WLOX.con
#ICE #immigrationraids #arrest #DEA #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7476071011524431146,wloxtv,2/27/2025,1092,868,44200,124,97,"['ice','immigrationraids','arrest','dea','news','wloxnews','fyp']",18:26:42
"On Thursday, the Department of Defense continues its stripping of DEI — this time through military social media sites.
 
A new Defense Department directive orders military bases and units to ""refresh"" their social media sites by March 5.
 
Details on WLOX.com.
#DEI #trumpadministration #military #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7476563764943260971,wloxtv,2/28/2025,85,5,2264,5,48,"['dei','trumpadministration','military','news','wloxnews','fyp']",11:47:56
"A recap of the Mardi Gras fun across South Mississippi!
 
The Krewe of Neptune marked its 40th anniversary with a dazzling parade themed ""Neptune After Dark,"" drawing thousands to the Mississippi Gulf Coast for a night of celebration.
 
Actor J.D. Evermore served as this year's grand marshal, bringing Hollywood flair to the festivities
 
The Krewe of Gemini parade rolled through Downtown Gulfport on Saturday afternoon with King Jupiter and Queen Leda leading the way.
 
Gulfport Admiral-turned-Seattle Seahawk Derick Hall was the Grand Marshall, an honor he believes was too good to pass up.
 
And, a sea of purple, green, and gold descended downtown Biloxi, continuing a 30-year tradition of the Second Liners Mardi Gras Club Parade on Saturday.
 
More on all the parades at WLOX.com
#mardigras #mardigras2025 #kreweofneptune #kreweofgemini #secondline #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7477275776812010798,wloxtv,3/2/2025,68,0,1273,0,60,"['mardigras','mardigras2025','kreweofneptune','kreweofgemini','secondline','wloxnews','fyp']",19:28:52
"Casey McInnis was born without arms and went through multiple surgeries on his legs as a baby.
 
Doctors warned against running or playing sports. But, McInnis never let that stop him.
 
More on how he is inspiring others through determination and faith at WLOX.com 
#Mississippi #BornWithoutArms #defiesodds #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7480274438504729902,wloxtv,3/10/2025,35,0,1060,2,253,"['mississippi','bornwithoutarms','defiesodds','fyp','news','wloxnews']",19:45:49
"Officials reported that first responders were called to a helicopter crash near the Natchez Trace Monday afternoon, shortly before 1 p.m.
 
The University of Mississippi Medical Center released a memo stating that two UMMC employee crew members and a Med-Trans pilot were on board. All 3 were killed. 

According to the memo, no patient was aboard.
 
More details on WLOX.com.
#helicoptercrash #planecrash #ummc #medicalhelicopters #mississippi #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7480612509582478634,wloxtv,3/11/2025,171,40,6256,11,115,"['helicoptercrash','planecrash','ummc','medicalhelicopters','mississippi','news','wloxnews']",18:46:33
,https://www.tiktok.com/@wloxtv/video/7480631431572524331,wloxtv,3/11/2025,70,8,1639,6,116,[''],13:50:46
"As Biloxi investigators are still looking for the person responsible for opening fire at the club Elevate, city records show that the night club's business license is no longer active.
 
WLOX News obtained a copy of Elevate's business records with the City of Biloxi. According to the document, the club's license was listed inactive three days after the shooting.
 
Elevate's owners lease the building, so when the building owner told the city that the lease was not renewed, it prompted the city to list the business's license status as inactive.
 
More details on WLOX.com
#crime #truecrime #shooting #nightclub #biloxi #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7481006887643729198,wloxtv,3/12/2025,51,15,1992,1,57,"['crime','truecrime','shooting','nightclub','biloxi','news','wloxnews']",17:12:00
"On Wednesday, the Mississippi Aquarium and members of Rehab Heroes celebrated the release of 19 endangered Kemp's ridley sea turtles.
 
The turtles recovered from a myriad of health issues sustained after they were stranded in the cold waters off the coast of Boston late last year.

""They've overcome pneumonia, bone infections, and trouble with digestion and frostbite. Now they're ready to go,"" said Dr. Alexa Delaune, Vice President of Veterinarian Services & Research at Mississippi Aquarium.

Populations of the nesting turtles were in the tens of thousands during the 1950s, but the National Oceanic and Atmospheric Administration claims those numbers dwindled to fewer than 250 nesting females in the mid-80s.

Dr. Delaune says the efforts of Rehab Heroes are critical to the conservation of this still-endangered species.

More on WLOX.com.
#seaturtle #turtlerelease #kempsridleyseaturtles #mississippisound #mississippiaquarium #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7481346213875305770,wloxtv,3/13/2025,135,13,1759,4,28,"['seaturtle','turtlerelease','kempsridleyseaturtles','mississippisound','mississippiaquarium','fyp','news','wloxnews']",17:08:24
"On Wednesday, charges against Darold Sim Payne were upgraded from murder to capital murder, which is punishable by the death penalty.
 
The 39-year-old is accused of beating his parents to death with a cinderblock.
 
Payne was arrested on March 5 following a four-hour standoff with law enforcement after he barricaded himself inside his home on Krebs Avenue.
 
After several attempts to negotiate with Payne, law enforcement deployed tear gas into the home, causing him to eventually surrender.
 
Officials confirmed that two people, later identified as 86-year-old Harold Payne and 72-year-old Jittuan Payne, were found dead outside of the home.
 
Pascagoula Police Chief Terry Scott said the parents and son lived together in the house.
 
More details at WLOX.com
#crime #truecrime #crimestory #shooting #pascagoula #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7481366425874255150,wloxtv,3/13/2025,89,10,2025,2,99,"['crime','truecrime','crimestory','shooting','pascagoula','news','wloxnews']",19:51:17
"Smalls Sliders, a growing fast-food franchise backed by Saints legend Drew Brees, is set to open in Biloxi.
 
Nicknamed ""The Can"", the 750-square-foot modular unit clad in the brand's trademarked ""Smorange"" color scheme will house a drive-thru/walk-up restaurant specializing in cheeseburger sliders, seasoned waffle fries, and milkshakes.
 
More details at WLOX.com.
#smallssliders #burger #newrestaurant #foodie #food #biloxi #wloxnews",https://www.tiktok.com/@wloxtv/video/7481656473102159146,wloxtv,3/14/2025,95,48,9019,0,25,"['smallssliders','burger','newrestaurant','foodie','food','biloxi','wloxnews']",18:35:17
"Signs decorated the roads at the Naval Construction Battalion Center on Thursday as crowds waited for busses carrying their loved ones.

104 Seabees arrived home after a 6-month deployment.

Wives and family members on the other side of the deployment say they are proud of the work the Seabees do. 

However, they were ready to have them home.

Details on WLOX.com.
#homecoming #militarylife #seabee #gulfport #fyp #wloxnews",https://www.tiktok.com/@wloxtv/video/7481756808990854446,wloxtv,3/14/2025,222,6,3538,4,34,"['homecoming','militarylife','seabee','gulfport','fyp','wloxnews']",19:20:29
"Mississippi Gov. Tate Reeves has issued a state of emergency in response to Saturday's severe storms that left six people dead.
 
Multiple tornadoes were reported across the state on Saturday, impacting over 20 counties.
 
""I'm heartbroken by the destruction and loss of life caused by these storms,"" Reeves said. ""The state of Mississippi will continue to utilize every available resource to support our fellow Mississippians in need. We are committed to helping them rebuild."" 

More details at WLOX.com
#storm #tornado #weather #weathertok #mississippi #stormdamage",https://www.tiktok.com/@wloxtv/video/7482774072540138795,wloxtv,3/17/2025,171,4,2970,12,27,"['storm','tornado','weather','weathertok','mississippi','stormdamage']",19:30:44
"For more than 50 years, Fayard's has been serving Gulf Coast residents fresh meat, signature po-boys, and much more from its family-owned gas station.
 
Owners Keith Fayard and Steve Wilson operate several locations in South Mississippi.
 
The Biloxi location is a busy spot with multiple gas pumps outside and a grill inside.
 
""We are more a restaurant than a gas station,"" said Wilson. ""We make po-boys all day, after breakfast. During breakfast, we make biscuits, beignets, burritos, just everything.""
 
Fayard and Wilson say the secret to long-lasting business is quality, consistency, and friendship within the partnership.
 
Take a closer look 'Behind the Business' at WLOX.com.
#foodie #foodtok #gasstationfood #biloxi #southernfood #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7483161133130583339,wloxtv,3/18/2025,83,15,2105,1,168,"['foodie','foodtok','gasstationfood','biloxi','southernfood','fyp','news','wloxnews']",03:17:47
"March Madness is upon us, and casinos on the Coast are banking on big sports-book betting turnouts during the men's and women's NCAA Tournament.
 
The American Gaming Association estimates Americans will legally wager $3.1 billion during March Madness.
 
With both men's and women's teams from Ole Miss and Mississippi State making historic appearances in this year's Tournaments, local interest is expected to be at an all-time high.
 
More details at WLOX.com
#marchmadness #ncaabasketball #olemissrebels #mississippistatebulldogs #basketball #sportsbetting #wloxnews",https://www.tiktok.com/@wloxtv/video/7483585424317844779,wloxtv,3/19/2025,25,1,697,0,76,"['marchmadness','ncaabasketball','olemissrebels','mississippistatebulldogs','basketball','sportsbetting','wloxnews']",14:37:03
"On Wednesday, a federal grand jury in Gulfport returned a six-count superseding indictment charging Stefan Day with federal civil rights and arson violations for allegedly vandalizing and setting fire to a church in Wiggins.
 
According to authorities, Day set fire to the Church of Jesus Christ of Latter-Day Saints in July 2024. Officials also said he vandalized the walls with graffiti.
 
The indictment includes two counts of arson, two counts of using fire to commit a federal felony offense, and two counts of intentionally damaging, defacing, and destroying religious property.
 
More details at WLOX.com.
#crime #crimejunkie #crimestory #arrested #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7483971603450088750,wloxtv,3/20/2025,35,2,1184,0,43,"['crime','crimejunkie','crimestory','arrested','news','wloxnews']",16:18:49
"Darian Tawan Atkinson, the man accused of the capital murder of Biloxi Police Officer Robert McKeithen, was found not competent to stand trial at Tuesday's competency hearing.
 
Officer McKeithen was gunned down in the parking lot of the Biloxi Public Safety Center in May 2019.
 
Following Atkinson's second competency hearing Tuesday, he was remanded back to the Mississippi State Hospital in Whitfield, where he has been since March 2023.
 
@Noah Noble has details on the case on WLOX.com.
#crime #truecrime #crimejunkie #truecrimetok #shooting #biloxi #mississippi #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7486128335068597547,wloxtv,3/26/2025,33,12,1681,3,241,"['crime','truecrime','crimejunkie','truecrimetok','shooting','biloxi','mississippi','news','wloxnews']",17:48:20
"A federal judge dismissed the civil defamation case brought by former Mississippi Governor Phil Bryant and his wife against a Sports Illustrated journalist writing about the state's welfare scandal and Bryant's alleged involvement.
 
Lawyers for Bryant argued an article from 2023 reiterated alleged defamatory statements first published by Mississippi Today; namely, that Bryant allegedly orchestrated the scheme to defraud tens of millions in welfare dollars to construct a volleyball stadium on the Southern Miss campus and invest in a pharmaceutical company.
 
The judge wrote that Bryant could not prove any of the elements of its defamation claim, most notably the allegation that the reporter acted with ""actual malice.""
 
More details at WLOX.com
#scandal #welfare #mississippi #mississippigovernor #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7486203917185977642,wloxtv,3/26/2025,17,0,698,0,29,"['scandal','welfare','mississippi','mississippigovernor','news','wloxnews']",19:07:48
"The Jackson County Sheriff’s Department is investigating an incident that left one man dead, one woman fighting for her life, and launched an overnight search for four missing kids.

@Noah Noble has more details on WLOX.con
#crime #truecrime #missing #truecrimetok #jacksoncounty #mississippi #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7486559852534369582,wloxtv,3/27/2025,6,2,465,1,63,"['crime','truecrime','missing','truecrimetok','jacksoncounty','mississippi','news','wloxnews','fyp']",19:26:57
"Tylertown resident Curtis Bush was overwhelmed with emotions Wednesday after laying eyes on his dog, Linus.
 
Bush said he hadn't seen the dog for over 10 days after tornadoes destroyed his home on March 15.
 
A rescue group helped search for the dog, but nothing came up until Tuesday afternoon, when a neighbor spotted the dog a mile away.
 
""I started yelling and going nuts.""
 
More details on WLOX.com.
#tornado #tornadotok #mississippitornado #dog #lostdogfound #tylertown #weather #weathertok #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7486945159377145130,wloxtv,3/28/2025,210,8,2074,5,97,"['tornado','tornadotok','mississippitornado','dog','lostdogfound','tylertown','weather','weathertok','wloxnews','fyp']",20:45:59
"Cleanup crews were active on Sunday afternoon following reports of tornadoes in Jackson County, per the National Weather Service.
 
This video shows a tree falling right after it was struck by lightning in the St. Martin area.
 
More details on the storm at WLOX.com.
#weather #tornado #lightning #lightningstrike #mswx #mississippi #storm #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7487945943245917482,wloxtv,3/31/2025,133,24,8909,3,27,"['weather','tornado','lightning','lightningstrike','mswx','mississippi','storm','news','wloxnews','fyp']",18:52:45
"A car slammed into Jimmy John's on Pass Road Monday afternoon, according to the Biloxi Police Department.
 
The wreck happened around 12:40 p.m.
 
Police believe the driver may have suffered from a medical issue, but so far no word on the driver's injuries.
 
More details at WLOX.com
#carweek #jimmyjohnssandwich #carinbuilding #biloxi #passroad #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7488437355372760366,wloxtv,4/1/2025,69,21,3571,1,23,"['carweek','jimmyjohnssandwich','carinbuilding','biloxi','passroad','news','wloxnews','fyp']",20:24:30
"South Mississippians went to the polls Tuesday to vote in primary elections in cities across the Coast.
 
8 mayoral seats were up for grabs since there is no opposition in the general election.
 
You can find all the election results at WLOX.COM
#vote #election2025 #mississippi #primaryelection #republican #democrat #election #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7488712969694547243,wloxtv,4/2/2025,27,0,1740,3,0,"['vote','election2025','mississippi','primaryelection','republican','democrat','election','news','wloxnews','fyp']",23:25:38
"The Long Beach Police Department arrested Noah Bridges on March 31 and charged him with one count of possession of dog fighting paraphernalia.
 
Police said they got a call from a neighbor on the evening of Monday, March 31, informing them of dogs barking at a house.
 
Officers served a search warrant and said they found several items related to dog fighting.
 
Several dogs on the scene had scars and open wounds.
 
The Long Beach Police Department and the South Mississippi Humane Society are in the process of rescuing 19 dogs from the home.
 
More details at WLOX.com.
#dogs #dogsrescue #humanesociety #longbeach #animalcontrol #mississippi #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7488772165354081582,wloxtv,4/2/2025,633,46,24000,25,117,"['dogs','dogsrescue','humanesociety','longbeach','animalcontrol','mississippi','news','wloxnews','fyp']",22:36:53
"Hurricane Season 2025 is almost here and forecasters from Colorado State University have released their early outlook on what they expect.
 
The outlook called for 17 named storms. Nine of those 17 are expected to be hurricanes.
 
And, of those nine, four are expected to become major hurricanes of category three strength or higher.
 
More details at WLOX.com.
#hurricane #hurricaneseason #storm #weather #coloradostateuniversity #hurricanecenter #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7489147126774156590,wloxtv,4/3/2025,126,4,1736,2,82,"['hurricane','hurricaneseason','storm','weather','coloradostateuniversity','hurricanecenter','news','wloxnews','fyp']",19:08:37
"Many who travel Highway 90 noticed equipment washing ashore.
 
A rusted metal pontoon and a 300-plus-foot plastic dredging pipe were floating along the shoreline in Pass Christian near Menge Avenue.
 
A second tank was also seen in Long Beach.
 
A spokesperson from Louisiana dredging contractor, Mike Hooks LLC, said the equipment broke away during severe storms over the weekend.
 
More details on WLOX.com.
#beach #msgulfcoast #mississippi #dredging #dredgingpipelines #passchristian #longbeach #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7489543319769533742,wloxtv,4/4/2025,1822,474,91900,41,42,"['beach','msgulfcoast','mississippi','dredging','dredgingpipelines','passchristian','longbeach','wloxnews','fyp']",22:36:43
"According to the Biloxi Police Department, a car crashed into The UPS Store on Beauvoir Road.

The store’s door and windows were smashed, and broken glass covered the floor.

One customer was inside at the time, but no one was hurt.

More details at WLOX.com.
#carcrash #carcrashvideos #carintobuilding #biloxi #ups #upsstore #survilliancecamera #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7489948696608640302,wloxtv,4/5/2025,1497,293,79000,24,35,"['carcrash','carcrashvideos','carintobuilding','biloxi','ups','upsstore','survilliancecamera','news','wloxnews','fyp']",19:28:13
"A bill regarding the labeling of seafood products is headed to the governor's desk.
 
House Bill 602 will create the Mississippi Seafood Labeling Task Force, holding seafood vendors responsible for transparency on where the food is from.
 
The bill comes in response to restaurants throughout the state selling imported products, but advertising them as local.
 
More details at WLOX.com.
#seafood #seafoodlabeling #gulfshrimp #localseafood #mississippi #gulfcoast #food #foodie #foodtiktok #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7490651783199477034,wloxtv,4/7/2025,26,1,850,4,101,"['seafood','seafoodlabeling','gulfshrimp','localseafood','mississippi','gulfcoast','food','foodie','foodtiktok','wloxnews','fyp']",22:12:40
"Beaver fever is building as an opening date has been set for Mississippi's first Buc-ee's.
 
According to Harrison County officials, the travel center is set to open on Monday, June 9, 2025.
 
The 74,000-square-foot location features over 100 gas pumps and 20 electric vehicle charging stations.
 
More details at WLOX.com.
#bucees #buceesgasstation #bevernuggets #mississippi #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7490931329991839018,wloxtv,4/8/2025,584,348,31100,16,23,"['bucees','buceesgasstation','bevernuggets','mississippi','news','wloxnews','fyp']",22:31:18
"Gautier Police Chief David Bever says a call came in Monday afternoon about a vehicle that went over the Pascagoula River Bridge at the 66-mile marker.
 
Mississippi Highway Patrol says it was the result of a multi-vehicle crash.
 
MHP says the driver who went into the water was rescued after Jackson County Fire Protection crews deployed a boat.
 
The driver had minor injuries and another driver involved in the crash had serious injuries.
 
More details at WLOX.com.
#carcrash #carcrashvideos #carinwater #bridgefall #pascagoulariver #i10 #gautier #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7491003656565968174,wloxtv,4/8/2025,68,14,2310,1,28,"['carcrash','carcrashvideos','carinwater','bridgefall','pascagoulariver','i10','gautier','wloxnews','fyp']",19:29:37
